customer_id,interaction_type,summary_text,updated_at,next_action,urgency
C_015746,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: جلسه قیمت؛ فوریت: مهم؛ کد پیگیری 0063.,2021-03-24,جلسه قیمت,مهم
C_015746,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0066.,2021-05-18,پیگیری تلفنی,عادی
C_015746,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0066. اطلاعات تکمیلی ثبت شد.,2021-05-24,پیگیری تلفنی,عادی
C_015746,خدمات فنی,کارشناس فنی راهنمایی اولیه برای مصرف محصول ارائه کرد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0070.,2022-06-11,بدون اقدام,عادی
C_015746,خدمات فنی,کارشناس فنی راهنمایی اولیه برای مصرف محصول ارائه کرد. اقدام بعدی: بدون اقدام؛ فوریت: مهم؛ کد پیگیری 0072.,2021-05-04,بدون اقدام,مهم
C_015746,وصول مطالبات,مشتری برنامه تسویه مرحله‌ای را اعلام کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0074.,2022-06-29,پیگیری تلفنی,عادی
C_016617,خدمات فنی,کارشناس فنی راهنمایی اولیه برای مصرف محصول ارائه کرد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0070.,2020-06-19,بدون اقدام,عادی
C_016617,خدمات فنی,کارشناس فنی راهنمایی اولیه برای مصرف محصول ارائه کرد. اقدام بعدی: بدون اقدام؛ فوریت: مهم؛ کد پیگیری 0072.,2022-06-04,بدون اقدام,مهم
C_016617,وصول مطالبات,مشتری برنامه تسویه مرحله‌ای را اعلام کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0074.,2022-05-17,پیگیری تلفنی,عادی
C_016617,نمونه محصول,مشخصات نمونه و شرایط آزمون با مشتری هماهنگ شد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0077.,2022-06-25,جلسه قیمت,عادی
C_016617,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0080.,2022-06-29,بازدید فنی,عادی
C_018229,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: بدون اقدام؛ فوریت: فوری؛ کد پیگیری 0076.,2020-01-14,بدون اقدام,فوری
C_018229,خدمات فنی,کارشناس فنی راهنمایی اولیه برای مصرف محصول ارائه کرد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0079.,2020-11-13,بدون اقدام,عادی
C_018229,خدمات فنی,نیاز به بازدید فنی و تنظیم پارامترهای مصرف مطرح شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0081.,2020-11-16,بدون اقدام,عادی
C_018229,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0084.,2020-10-30,بدون اقدام,عادی
C_018229,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0086.,2020-11-02,بازدید فنی,عادی
C_018593,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0083.,2020-06-09,ارسال نمونه,عادی
C_018593,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0085.,2020-05-08,بدون اقدام,عادی
C_018593,نمونه محصول,مشخصات نمونه و شرایط آزمون با مشتری هماهنگ شد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0088.,2020-06-09,بازدید فنی,عادی
C_018593,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: جلسه قیمت؛ فوریت: مهم؛ کد پیگیری 0090. اطلاعات تکمیلی در نسخه دوم ثبت شد.,2020-05-11,جلسه قیمت,مهم
C_018593,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0092.,2020-05-30,ارسال نمونه,عادی
C_021668,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: جلسه قیمت؛ فوریت: مهم؛ کد پیگیری 0090.,2020-09-15,جلسه قیمت,مهم
C_021668,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0091.,2020-10-09,پیگیری تلفنی,عادی
C_021668,نمونه محصول,مشخصات نمونه و شرایط آزمون با مشتری هماهنگ شد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0093.,2020-08-27,ارسال نمونه,عادی
C_021668,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0095.,2020-09-28,بازدید فنی,عادی
C_021668,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: ارسال نمونه؛ فوریت: مهم؛ کد پیگیری 0097.,2020-08-13,ارسال نمونه,مهم
C_021985,خدمات فنی,نیاز به بازدید فنی و تنظیم پارامترهای مصرف مطرح شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: مهم؛ کد پیگیری 0094.,2022-01-17,پیگیری تلفنی,مهم
C_021985,برنامه خرید,مشتری برنامه تقریبی خرید دوره بعد را اعلام کرد. اقدام بعدی: بدون اقدام؛ فوریت: فوری؛ کد پیگیری 0096.,2021-08-27,بدون اقدام,فوری
C_021985,خدمات فنی,کارشناس فنی راهنمایی اولیه برای مصرف محصول ارائه کرد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0098.,2021-03-22,بازدید فنی,عادی
C_021985,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0100.,2021-04-23,پیگیری تلفنی,عادی
C_021985,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بازدید فنی؛ فوریت: فوری؛ کد پیگیری 0103.,2021-06-10,بازدید فنی,فوری
C_021985,پیگیری سفارش,زمان‌بندی ارسال و ظرفیت تحویل مرور شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0106.,2021-05-31,بدون اقدام,عادی
C_022240,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0100.,2021-05-23,پیگیری تلفنی,عادی
C_022240,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بازدید فنی؛ فوریت: فوری؛ کد پیگیری 0103.,2021-07-21,بازدید فنی,فوری
C_022240,پیگیری سفارش,زمان‌بندی ارسال و ظرفیت تحویل مرور شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0106.,2021-04-04,بدون اقدام,عادی
C_022240,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0108.,2021-04-14,پیگیری تلفنی,عادی
C_022240,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: بازدید فنی؛ فوریت: مهم؛ کد پیگیری 0110.,2021-07-21,بازدید فنی,مهم
C_022240,وصول مطالبات,مشتری برنامه تسویه مرحله‌ای را اعلام کرد. اقدام بعدی: بدون اقدام؛ فوریت: مهم؛ کد پیگیری 0112.,2021-01-28,بدون اقدام,مهم
C_022240,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0114.,2020-12-06,ارسال نمونه,عادی
C_022240,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0114. اطلاعات تکمیلی ثبت شد.,2020-12-11,ارسال نمونه,عادی
C_022240,پیگیری سفارش,زمان‌بندی ارسال و ظرفیت تحویل مرور شد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0117.,2020-10-15,جلسه قیمت,عادی
C_022240,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0119.,2021-04-10,پیگیری تلفنی,عادی
C_022746,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: فوری؛ کد پیگیری 0111.,2021-11-21,پیگیری تلفنی,فوری
C_022746,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: جلسه قیمت؛ فوریت: مهم؛ کد پیگیری 0113.,2021-10-24,جلسه قیمت,مهم
C_022746,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: جلسه قیمت؛ فوریت: مهم؛ کد پیگیری 0113. اطلاعات تکمیلی ثبت شد.,2021-11-01,جلسه قیمت,مهم
C_022746,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0115.,2021-11-22,پیگیری تلفنی,عادی
C_022746,کیفیت محصول,مشتری درباره یکنواختی محصول سؤال داشت و نمونه برای بررسی ثبت شد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0118.,2021-11-04,بازدید فنی,عادی
C_022746,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: فوری؛ کد پیگیری 0123.,2021-09-22,پیگیری تلفنی,فوری
C_023073,پیگیری سفارش,زمان‌بندی ارسال و ظرفیت تحویل مرور شد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0117.,2020-09-17,جلسه قیمت,عادی
C_023073,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0119.,2020-08-05,پیگیری تلفنی,عادی
C_023073,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0125.,2021-12-16,بدون اقدام,عادی
C_023073,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0127.,2021-07-11,جلسه قیمت,عادی
C_023073,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0127. اطلاعات تکمیلی ثبت شد.,2021-07-13,جلسه قیمت,عادی
C_023073,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0129.,2020-09-14,بدون اقدام,عادی
C_023073,خدمات فنی,نیاز به بازدید فنی و تنظیم پارامترهای مصرف مطرح شد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0131.,2021-08-15,بازدید فنی,عادی
C_027096,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0127.,2020-05-26,جلسه قیمت,عادی
C_027096,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0129.,2020-10-30,بدون اقدام,عادی
C_027096,خدمات فنی,نیاز به بازدید فنی و تنظیم پارامترهای مصرف مطرح شد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0131.,2020-03-17,بازدید فنی,عادی
C_027096,نمونه محصول,مشخصات نمونه و شرایط آزمون با مشتری هماهنگ شد. اقدام بعدی: بدون اقدام؛ فوریت: مهم؛ کد پیگیری 0133.,2020-08-12,بدون اقدام,مهم
C_027096,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0137.,2020-09-15,پیگیری تلفنی,عادی
C_028208,خدمات فنی,نیاز به بازدید فنی و تنظیم پارامترهای مصرف مطرح شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0132.,2021-01-30,بدون اقدام,عادی
C_028208,پیگیری سفارش,زمان‌بندی ارسال و ظرفیت تحویل مرور شد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0134.,2020-12-04,ارسال نمونه,عادی
C_028208,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: بدون اقدام؛ فوریت: فوری؛ کد پیگیری 0139.,2021-01-02,بدون اقدام,فوری
C_028208,برنامه خرید,مشتری برنامه تقریبی خرید دوره بعد را اعلام کرد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0141.,2020-12-04,بازدید فنی,عادی
C_028208,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: ارسال نمونه؛ فوریت: مهم؛ کد پیگیری 0143.,2021-02-02,ارسال نمونه,مهم
C_029626,خدمات فنی,نیاز به بازدید فنی و تنظیم پارامترهای مصرف مطرح شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0140.,2020-07-20,بدون اقدام,عادی
C_029626,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بدون اقدام؛ فوریت: فوری؛ کد پیگیری 0142.,2020-09-01,بدون اقدام,فوری
C_029626,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: بازدید فنی؛ فوریت: فوری؛ کد پیگیری 0145.,2020-07-31,بازدید فنی,فوری
C_029626,کیفیت محصول,مشتری درباره یکنواختی محصول سؤال داشت و نمونه برای بررسی ثبت شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0147.,2020-09-15,بدون اقدام,عادی
C_029626,نمونه محصول,مشخصات نمونه و شرایط آزمون با مشتری هماهنگ شد. اقدام بعدی: بازدید فنی؛ فوریت: مهم؛ کد پیگیری 0149.,2020-08-14,بازدید فنی,مهم
C_031511,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0146.,2022-05-23,پیگیری تلفنی,عادی
C_031511,خدمات فنی,نیاز به بازدید فنی و تنظیم پارامترهای مصرف مطرح شد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0148.,2022-07-08,جلسه قیمت,عادی
C_031511,برنامه خرید,مشتری برنامه تقریبی خرید دوره بعد را اعلام کرد. اقدام بعدی: ارسال نمونه؛ فوریت: مهم؛ کد پیگیری 0150.,2022-06-06,ارسال نمونه,مهم
C_031511,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0153.,2022-06-21,جلسه قیمت,عادی
C_031511,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: بازدید فنی؛ فوریت: مهم؛ کد پیگیری 0158.,2022-08-03,بازدید فنی,مهم
C_034287,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: جلسه قیمت؛ فوریت: فوری؛ کد پیگیری 0152.,2020-07-01,جلسه قیمت,فوری
C_034287,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0156.,2020-08-11,ارسال نمونه,عادی
C_034287,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0159.,2020-09-09,پیگیری تلفنی,عادی
C_034287,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: فوری؛ کد پیگیری 0162.,2020-05-05,پیگیری تلفنی,فوری
C_034287,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: بازدید فنی؛ فوریت: فوری؛ کد پیگیری 0164.,2020-05-12,بازدید فنی,فوری
C_035154,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0160.,2021-09-11,ارسال نمونه,عادی
C_035154,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0163.,2021-07-30,جلسه قیمت,عادی
C_035154,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0166.,2021-08-28,بازدید فنی,عادی
C_035154,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0168.,2021-08-07,بدون اقدام,عادی
C_035154,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0169. اطلاعات تکمیلی در نسخه دوم ثبت شد.,2021-09-08,بدون اقدام,عادی
C_035718,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0167.,2020-06-07,ارسال نمونه,عادی
