Request_ID,Customer_ID,Product_ID,Created_At,Available_At,Request_Type,Requirement_Text,Decision_At,Status,Outcome_Text,Owner_Unit,Source_System
PDR-000013,C_117580,P_RARE_Product_Family_02,2020-10-17,2020-10-17,کاهش پرز,کاهش پرز و یکنواختی بهتر در فرایند بعدی مورد انتظار است. حجم نمونه پیشنهادی 338 کیلوگرم است.,2021-01-12,فنی رد,نمونه برای آزمون مشتری آماده شد.,تحقیق,PLM_REQUESTS
PDR-000014,C_683666,P_RARE_Product_Family_01,2021-12-29,2021-12-30,تغییر تعداد فیلامنت,تعداد فیلامنت متفاوت برای رسیدن به پوشش بهتر درخواست شد. حجم نمونه پیشنهادی 128 کیلوگرم است.,,درحال بررسی,,کنترل کیفیت,PLM_REQUESTS
PDR-000015,C_258325,P_140222,2021-08-23,2021-08-25,تغییر تعداد فیلامنت,تعداد فیلامنت متفاوت برای رسیدن به پوشش بهتر درخواست شد. حجم نمونه پیشنهادی 414 کیلوگرم است.,2021-09-28,درحال توسعه,نتیجه بررسی فنی و برنامه اقدام ثبت شد.,کنترل کیفیت,PLM_REQUESTS
PDR-000016,C_152040,P_353833,2021-01-15,2021-01-15,بسته,ابعاد و چیدمان بسته,2021-03-12,نمونه تأیید,بررسی فنی و برنامه,تحقیق,PLM_REQUESTS
PDR-000017,C_015746,P_230552,2021-04-14,2021-04-15,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 174 کیلوگرم است.,2021-06-29,درحال توسعه,درخواست با محدودیت فنی فعلی سازگار نبود.,برنامه,PLM_REQUESTS
PDR-000018,C_113139,P_652993,2022-08-20,2022-08-21,بهبود استحکام,افزایش استحکام برای کاهش پارگی در سرعت بالاتر درخواست شد. حجم نمونه پیشنهادی 92 کیلوگرم است.,2022-10-09,درحال توسعه,نمونه برای آزمون مشتری آماده شد.,کنترل کیفیت,PLM_REQUESTS
PDR-000019,C_633661,P_RARE_Product_Family_03,2020-07-15,2020-07-17,تغییر تعداد فیلامنت,تعداد فیلامنت متفاوت برای رسیدن به پوشش بهتر درخواست شد. حجم نمونه پیشنهادی 285 کیلوگرم است.,,درحال بررسی,,برنامه,PLM_REQUESTS
PDR-000020,C_683666,P_RARE_Product_Family_05,2020-06-17,2020-06-17,بسته,ابعاد و چیدمان بسته,,درحال بررسی,,برنامه,PLM_REQUESTS
PDR-000021,C_310107,P_RARE_Product_Family_03,2020-12-04,2020-12-06,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 218 کیلوگرم است.,2020-12-30,فنی رد,نمونه برای آزمون مشتری آماده شد.,تحقیق,PLM_REQUESTS
PDR-000022,C_155990,P_193053,2021-07-09,2021-07-11,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 316 کیلوگرم است.,2021-10-02,نمونه تأیید,نمونه برای آزمون مشتری آماده شد.,کنترل کیفیت,PLM_REQUESTS
PDR-000023,C_593639,P_RARE_Product_Family_03,2020-12-27,2020-12-28,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 371 کیلوگرم است.,,درحال بررسی,,کنترل کیفیت,PLM_REQUESTS
PDR-000024,C_317124,P_107385,2022-05-07,2022-05-09,تغییر تعداد فیلامنت,تعداد فیلامنت متفاوت برای رسیدن به پوشش بهتر درخواست شد. حجم نمونه پیشنهادی 390 کیلوگرم است.,,درحال بررسی,,کنترل کیفیت,PLM_REQUESTS
PDR-000025,C_519849,P_RARE_Product_Family_03,2020-09-14,2020-09-15,بهبود شید رنگ,پایداری شید رنگ در بچ,,درحال بررسی,,کنترل کیفیت,PLM_REQUESTS
PDR-000026,C_683666,P_241469,2020-05-18,2020-05-19,تغییر تعداد فیلامنت,تعداد فیلامنت متفاوت برای رسیدن به پوشش بهتر درخواست شد. حجم نمونه پیشنهادی 404 کیلوگرم است.,2020-08-22,نمونه تأیید,نتیجه بررسی فنی و برنامه اقدام ثبت شد.,تحقیق,PLM_REQUESTS
PDR-000027,C_951507,P_539367,2021-10-27,2021-10-27,کاهش پرز,کاهش پرز و یکنواختی بهتر در فرایند بعدی مورد انتظار است. حجم نمونه پیشنهادی 500 کیلوگرم است.,2022-01-12,فنی رد,نمونه برای آزمون مشتری آماده شد.,تحقیق,PLM_REQUESTS
PDR-000028,C_357434,P_787809,2020-07-30,2020-08-01,کاهش پرز,کاهش پرز و یکنواختی بهتر در فرایند بعدی مورد انتظار است. حجم نمونه پیشنهادی 92 کیلوگرم است.,2020-08-22,فنی رد,بررسی فنی و برنامه,تحقیق,PLM_REQUESTS
PDR-000029,C_535756,P_635050,2021-03-27,2021-03-28,بهبود استحکام,افزایش استحکام برای کاهش پارگی در سرعت بالاتر درخواست شد. حجم نمونه پیشنهادی 408 کیلوگرم است.,2021-06-29,درحال توسعه,نمونه برای آزمون مشتری آماده شد.,کنترل کیفیت,PLM_REQUESTS
PDR-000030,C_066978,P_709297,2021-03-28,2021-03-30,بهبود استحکام,افزایش استحکام برای کاهش پارگی در سرعت بالاتر درخواست شد. حجم نمونه پیشنهادی 282 کیلوگرم است.,2021-06-02,درحال توسعه,بررسی فنی و برنامه,برنامه,PLM_REQUESTS
PDR-000031,C_594561,P_RARE_Product_Family_04,2020-11-27,2020-11-27,کاهش پرز,کاهش پرز و یکنواختی بهتر در فرایند بعدی مورد انتظار است. حجم نمونه پیشنهادی 418 کیلوگرم است.,,درحال بررسی,,تحقیق,PLM_REQUESTS
PDR-000032,C_848211,P_051351,2020-12-04,2020-12-04,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 339 کیلوگرم است.,2020-12-30,درحال توسعه,نتیجه بررسی فنی و برنامه اقدام ثبت شد.,کنترل کیفیت,PLM_REQUESTS
PDR-000033,C_027096,P_RARE_Product_Family_03,2020-07-22,2020-07-23,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 182 کیلوگرم است.,2020-09-06,نمونه تأیید,نمونه برای آزمون مشتری آماده شد.,کنترل کیفیت,PLM_REQUESTS
PDR-000034,C_338236,P_735610,2021-12-16,2021-12-16,بهبود استحکام,افزایش استحکام برای کاهش پارگی در سرعت بالاتر درخواست شد. حجم نمونه پیشنهادی 317 کیلوگرم است.,2022-02-09,درحال توسعه,نتیجه بررسی فنی و برنامه اقدام ثبت شد.,تحقیق,PLM_REQUESTS
PDR-000035,C_050237,P_RARE_Product_Family_04,2022-01-18,2022-01-19,بهبود استحکام,افزایش استحکام برای کاهش پارگی در سرعت بالاتر درخواست شد. حجم نمونه پیشنهادی 217 کیلوگرم است.,2022-04-02,فنی رد,نمونه برای آزمون مشتری آماده شد.,کنترل کیفیت,PLM_REQUESTS
PDR-000036,C_826339,P_556066,2021-04-13,2021-04-14,بسته,ابعاد و چیدمان بسته,,درحال بررسی,,کنترل کیفیت,PLM_REQUESTS
PDR-000037,C_126481,P_RARE_Product_Family_03,2020-06-14,2020-06-16,کاهش پرز,کاهش پرز و یکنواختی بهتر در فرایند بعدی مورد انتظار است. حجم نمونه پیشنهادی 126 کیلوگرم است.,2020-07-19,فنی رد,بررسی فنی و برنامه,تحقیق,PLM_REQUESTS
PDR-000038,C_698497,P_RARE_Product_Family_03,2020-06-15,2020-06-16,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 66 کیلوگرم است.,2020-07-28,نمونه تأیید,نمونه برای آزمون مشتری آماده شد.,تحقیق,PLM_REQUESTS
PDR-000039,C_746892,P_305089,2021-07-31,2021-08-02,بهبود استحکام,افزایش استحکام برای کاهش پارگی در سرعت بالاتر درخواست شد. حجم نمونه پیشنهادی 164 کیلوگرم است.,2021-10-02,فنی رد,بررسی فنی و برنامه,برنامه,PLM_REQUESTS
PDR-000040,C_317124,P_336235,2021-03-26,2021-03-26,بهبود شید رنگ,پایداری شید رنگ در بچ,,درحال بررسی,,کنترل کیفیت,PLM_REQUESTS
PDR-000041,C_714619,P_RARE_Product_Family_03,2020-07-13,2020-07-15,بهبود استحکام,افزایش استحکام برای کاهش پارگی در سرعت بالاتر درخواست شد. حجم نمونه پیشنهادی 205 کیلوگرم است.,2020-10-14,درحال توسعه,نمونه برای آزمون مشتری آماده شد.,تحقیق,PLM_REQUESTS
PDR-000042,C_806376,P_672805,2020-12-16,2020-12-17,بسته,ابعاد و چیدمان بسته,2021-02-27,فنی رد,نتیجه بررسی فنی و برنامه اقدام ثبت شد.,برنامه,PLM_REQUESTS
PDR-000043,C_731802,P_850083,2021-02-20,2021-02-20,بسته,ابعاد و چیدمان بسته,2021-04-14,درحال توسعه,نتیجه بررسی فنی و برنامه اقدام ثبت شد.,تحقیق,PLM_REQUESTS
PDR-000044,C_683666,P_264078,2021-10-25,2021-10-27,کاهش پرز,کاهش پرز و یکنواختی بهتر در فرایند بعدی مورد انتظار است. حجم نمونه پیشنهادی 78 کیلوگرم است.,2021-11-28,نمونه تأیید,درخواست با محدودیت فنی فعلی سازگار نبود.,تحقیق,PLM_REQUESTS
PDR-000045,C_683666,P_RARE_Product_Family_03,2022-02-24,2022-02-25,کاهش پرز,کاهش پرز و یکنواختی بهتر در فرایند بعدی مورد انتظار است. حجم نمونه پیشنهادی 91 کیلوگرم است.,,درحال بررسی,,کنترل کیفیت,PLM_REQUESTS
PDR-000046,C_365405,P_RARE_Product_Family_05,2022-05-14,2022-05-14,بسته,ابعاد و چیدمان بسته,,درحال بررسی,,کنترل کیفیت,PLM_REQUESTS
PDR-000047,C_683666,P_RARE_Product_Family_03,2022-01-11,2022-01-13,کاهش پرز,کاهش پرز و یکنواختی بهتر در فرایند بعدی مورد انتظار است. حجم نمونه پیشنهادی 228 کیلوگرم است.,2022-03-16,فنی رد,درخواست با محدودیت فنی فعلی سازگار نبود.,تحقیق,PLM_REQUESTS
PDR-000048,C_633661,P_054756,2020-12-12,2020-12-14,کاهش پرز,کاهش پرز و یکنواختی بهتر در فرایند بعدی مورد انتظار است. حجم نمونه پیشنهادی 139 کیلوگرم است.,2021-03-12,درحال توسعه,درخواست با محدودیت فنی فعلی سازگار نبود.,کنترل کیفیت,PLM_REQUESTS
PDR-000049,C_636079,P_434331,2021-10-19,2021-10-20,بسته,ابعاد و چیدمان بسته,2021-12-28,نمونه تأیید,بررسی فنی و برنامه,تحقیق,PLM_REQUESTS
PDR-000050,C_683666,P_102912,2021-12-22,2021-12-24,بهبود شید رنگ,پایداری شید رنگ در بچ,,درحال بررسی,,برنامه,PLM_REQUESTS
PDR-000051,C_113139,P_572494,2021-07-25,2021-07-25,بهبود شید رنگ,پایداری شید رنگ در بچ,,درحال بررسی,,تحقیق,PLM_REQUESTS
PDR-000052,C_683666,P_995713,2020-12-04,2020-12-05,بهبود شید رنگ,پایداری شید رنگ در بچ,2021-02-24,نمونه تأیید,درخواست با محدودیت فنی فعلی سازگار نبود.,کنترل کیفیت,PLM_REQUESTS
PDR-000053,C_683666,P_165831,2021-02-09,2021-02-11,بهبود شید رنگ,پایداری شید رنگ در بچ,2021-05-22,درحال توسعه,بررسی فنی و برنامه,کنترل کیفیت,PLM_REQUESTS
PDR-000054,C_705572,P_850083,2022-06-18,2022-06-19,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 263 کیلوگرم است.,,درحال بررسی,,تحقیق,PLM_REQUESTS
PDR-000055,C_957389,P_RARE_Product_Family_05,2021-10-27,2021-10-29,بهبود استحکام,افزایش استحکام برای کاهش پارگی در سرعت بالاتر درخواست شد. حجم نمونه پیشنهادی 209 کیلوگرم است.,2022-01-08,فنی رد,نتیجه بررسی فنی و برنامه اقدام ثبت شد.,برنامه,PLM_REQUESTS
PDR-000056,C_683666,P_RARE_Product_Family_03,2022-02-28,2022-02-28,بسته,ابعاد و چیدمان بسته,2022-06-01,نمونه تأیید,نمونه برای آزمون مشتری آماده شد.,کنترل کیفیت,PLM_REQUESTS
PDR-000057,C_806376,P_RARE_Product_Family_02,2021-07-16,2021-07-17,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 490 کیلوگرم است.,2021-08-08,فنی رد,نتیجه بررسی فنی و برنامه اقدام ثبت شد.,تحقیق,PLM_REQUESTS
PDR-000058,C_063926,P_077463,2020-08-19,2020-08-20,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 189 کیلوگرم است.,2020-09-08,فنی رد,نمونه برای آزمون مشتری آماده شد.,تحقیق,PLM_REQUESTS
PDR-000059,C_806376,P_264078,2022-01-10,2022-01-12,بسته,ابعاد و چیدمان بسته,2022-02-19,درحال توسعه,نمونه برای آزمون مشتری آماده شد.,کنترل کیفیت,PLM_REQUESTS
PDR-000060,C_479796,P_278460,2021-10-24,2021-10-25,بهبود شید رنگ,پایداری شید رنگ در بچ,2021-12-26,درحال توسعه,درخواست با محدودیت فنی فعلی سازگار نبود.,کنترل کیفیت,PLM_REQUESTS
PDR-000061,C_950113,P_RARE_Product_Family_03,2021-06-22,2021-06-22,کاهش پرز,کاهش پرز و یکنواختی بهتر در فرایند بعدی مورد انتظار است. حجم نمونه پیشنهادی 430 کیلوگرم است.,2021-08-04,نمونه تأیید,نتیجه بررسی فنی و برنامه اقدام ثبت شد.,تحقیق,PLM_REQUESTS
PDR-000062,C_633661,P_RARE_Product_Family_03,2021-02-16,2021-02-16,تغییر تعداد فیلامنت,تعداد فیلامنت متفاوت برای رسیدن به پوشش بهتر درخواست شد. حجم نمونه پیشنهادی 417 کیلوگرم است.,2021-05-29,درحال توسعه,نمونه برای آزمون مشتری آماده شد.,برنامه,PLM_REQUESTS
PDR-000063,C_113139,P_379855,2020-07-16,2020-07-18,کاهش پرز,کاهش پرز و یکنواختی بهتر در فرایند بعدی مورد انتظار است. حجم نمونه پیشنهادی 320 کیلوگرم است.,,درحال بررسی,,کنترل کیفیت,PLM_REQUESTS
PDR-000064,C_662193,P_RARE_Product_Family_03,2021-12-09,2021-12-11,بهبود استحکام,افزایش استحکام برای کاهش پارگی در سرعت بالاتر درخواست شد. حجم نمونه پیشنهادی 60 کیلوگرم است.,2022-01-29,درحال توسعه,نتیجه بررسی فنی و برنامه اقدام ثبت شد.,کنترل کیفیت,PLM_REQUESTS
PDR-000065,C_683666,P_RARE_Product_Family_05,2020-05-30,2020-05-31,کاهش پرز,کاهش پرز و یکنواختی بهتر در فرایند بعدی مورد انتظار است. حجم نمونه پیشنهادی 53 کیلوگرم است.,2020-07-01,فنی رد,نمونه برای آزمون مشتری آماده شد.,تحقیق,PLM_REQUESTS
PDR-000066,C_749079,P_635050,2021-06-05,2021-06-06,بهبود استحکام,افزایش استحکام برای کاهش پارگی در سرعت بالاتر درخواست شد. حجم نمونه پیشنهادی 281 کیلوگرم است.,,درحال بررسی,,برنامه,PLM_REQUESTS
PDR-000067,C_479796,P_817472,2020-12-21,2020-12-21,بهبود شید رنگ,پایداری شید رنگ در بچ,2021-03-02,فنی رد,نمونه برای آزمون مشتری آماده شد.,برنامه,PLM_REQUESTS
PDR-000068,C_683666,P_RARE_Product_Family_03,2021-11-29,2021-11-29,بسته,ابعاد و چیدمان بسته,2022-01-08,نمونه تأیید,بررسی فنی و برنامه,کنترل کیفیت,PLM_REQUESTS
PDR-000069,C_683666,P_484354,2020-11-25,2020-11-27,بهبود شید رنگ,پایداری شید رنگ در بچ,,درحال بررسی,,برنامه,PLM_REQUESTS
PDR-000070,C_117580,P_769459,2020-10-16,2020-10-18,بسته,ابعاد و چیدمان بسته,2021-01-01,درحال توسعه,نتیجه بررسی فنی و برنامه اقدام ثبت شد.,برنامه,PLM_REQUESTS
PDR-000071,C_806376,P_RARE_Product_Family_02,2020-10-27,2020-10-27,بهبود استحکام,افزایش استحکام برای کاهش پارگی در سرعت بالاتر درخواست شد. حجم نمونه پیشنهادی 156 کیلوگرم است.,2021-02-01,نمونه تأیید,نمونه برای آزمون مشتری آماده شد.,تحقیق,PLM_REQUESTS
PDR-000072,C_265163,P_RARE_Product_Family_04,2021-07-21,2021-07-21,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 179 کیلوگرم است.,,درحال بررسی,,کنترل کیفیت,PLM_REQUESTS
PDR-000073,C_076411,P_700346,2021-03-15,2021-03-16,بهبود استحکام,افزایش استحکام برای کاهش پارگی در سرعت بالاتر درخواست شد. حجم نمونه پیشنهادی 54 کیلوگرم است.,2021-05-12,نمونه تأیید,نمونه برای آزمون مشتری آماده شد.,کنترل کیفیت,PLM_REQUESTS
PDR-000074,C_698497,P_298416,2022-05-23,2022-05-24,بهبود شید رنگ,پایداری شید رنگ در بچ,2022-08-19,فنی رد,درخواست با محدودیت فنی فعلی سازگار نبود.,کنترل کیفیت,PLM_REQUESTS
PDR-000075,C_900728,P_970810,2021-10-30,2021-11-01,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 175 کیلوگرم است.,,درحال بررسی,,کنترل کیفیت,PLM_REQUESTS
PDR-000076,C_915518,P_RARE_Product_Family_03,2020-11-07,2020-11-09,بهبود شید رنگ,پایداری شید رنگ در بچ,2020-12-26,فنی رد,نتیجه بررسی فنی و برنامه اقدام ثبت شد.,تحقیق,PLM_REQUESTS
PDR-000077,C_134962,P_RARE_Product_Family_03,2020-09-03,2020-09-03,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 404 کیلوگرم است.,2020-11-11,نمونه تأیید,نمونه برای آزمون مشتری آماده شد.,کنترل کیفیت,PLM_REQUESTS
PDR-000078,C_391166,P_RARE_Product_Family_01,2020-12-17,2020-12-17,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 89 کیلوگرم است.,,درحال بررسی,,تحقیق,PLM_REQUESTS
PDR-000079,C_877858,P_285147,2021-12-21,2021-12-22,بهبود استحکام,افزایش استحکام برای کاهش پارگی در سرعت بالاتر درخواست شد. حجم نمونه پیشنهادی 417 کیلوگرم است.,,درحال بررسی,,برنامه,PLM_REQUESTS
PDR-000080,C_117580,P_672805,2020-08-08,2020-08-09,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 404 کیلوگرم است.,2020-09-10,نمونه تأیید,نمونه برای آزمون مشتری آماده شد.,کنترل کیفیت,PLM_REQUESTS
PDR-000081,C_997228,P_603156,2021-07-20,2021-07-20,کاهش پرز,کاهش پرز و یکنواختی بهتر در فرایند بعدی مورد انتظار است. حجم نمونه پیشنهادی 97 کیلوگرم است.,2021-11-01,فنی رد,نمونه برای آزمون مشتری آماده شد.,برنامه,PLM_REQUESTS
PDR-000082,C_739947,P_RARE_Product_Family_05,2020-12-31,2021-01-02,بهبود استحکام,افزایش استحکام برای کاهش پارگی در سرعت بالاتر درخواست شد. حجم نمونه پیشنهادی 247 کیلوگرم است.,2021-03-25,نمونه تأیید,نمونه برای آزمون مشتری آماده شد.,برنامه,PLM_REQUESTS
PDR-000083,C_282979,P_RARE_Product_Family_04,2020-05-10,2020-05-11,بهبود شید رنگ,پایداری شید رنگ در بچ,,درحال بررسی,,تحقیق,PLM_REQUESTS
PDR-000084,C_746892,P_RARE_Product_Family_03,2020-09-30,2020-10-02,تغییر تعداد فیلامنت,تعداد فیلامنت متفاوت برای رسیدن به پوشش بهتر درخواست شد. حجم نمونه پیشنهادی 185 کیلوگرم است.,2020-10-22,نمونه تأیید,نمونه برای آزمون مشتری آماده شد.,کنترل کیفیت,PLM_REQUESTS
PDR-000085,C_951507,P_826872,2021-07-31,2021-08-01,کاهش پرز,کاهش پرز و یکنواختی بهتر در فرایند بعدی مورد انتظار است. حجم نمونه پیشنهادی 392 کیلوگرم است.,2021-10-31,درحال توسعه,نمونه برای آزمون مشتری آماده شد.,تحقیق,PLM_REQUESTS
PDR-000086,C_465481,P_146351,2020-10-05,2020-10-05,کاهش پرز,کاهش پرز و یکنواختی بهتر در فرایند بعدی مورد انتظار است. حجم نمونه پیشنهادی 124 کیلوگرم است.,,درحال بررسی,,برنامه,PLM_REQUESTS
PDR-000087,C_857626,P_RARE_Product_Family_03,2022-06-16,2022-06-18,بهبود شید رنگ,پایداری شید رنگ در بچ,2022-08-08,درحال توسعه,بررسی فنی و برنامه,برنامه,PLM_REQUESTS
PDR-000088,C_705572,P_RARE_Product_Family_01,2021-06-06,2021-06-06,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 327 کیلوگرم است.,,درحال بررسی,,برنامه,PLM_REQUESTS
PDR-000089,C_862106,P_RARE_Product_Family_03,2021-09-22,2021-09-24,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 413 کیلوگرم است.,,درحال بررسی,,برنامه,PLM_REQUESTS
PDR-000090,C_119382,P_RARE_Product_Family_04,2021-09-23,2021-09-23,کاهش پرز,کاهش پرز و یکنواختی بهتر در فرایند بعدی مورد انتظار است. حجم نمونه پیشنهادی 318 کیلوگرم است.,2021-11-15,درحال توسعه,درخواست با محدودیت فنی فعلی سازگار نبود.,کنترل کیفیت,PLM_REQUESTS
PDR-000091,C_147980,P_RARE_Product_Family_04,2020-08-17,2020-08-18,کاهش پرز,کاهش پرز و یکنواختی بهتر در فرایند بعدی مورد انتظار است. حجم نمونه پیشنهادی 481 کیلوگرم است.,2020-10-29,فنی رد,درخواست با محدودیت فنی فعلی سازگار نبود.,تحقیق,PLM_REQUESTS
PDR-000092,C_980626,P_441295,2021-06-12,2021-06-14,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 384 کیلوگرم است.,,درحال بررسی,,تحقیق,PLM_REQUESTS
PDR-000093,C_909326,P_218456,2021-07-21,2021-07-21,بسته,ابعاد و چیدمان بسته,,درحال بررسی,,تحقیق,PLM_REQUESTS
PDR-000094,C_603968,P_591650,2021-11-01,2021-11-02,تغییر تعداد فیلامنت,تعداد فیلامنت متفاوت برای رسیدن به پوشش بهتر درخواست شد. حجم نمونه پیشنهادی 453 کیلوگرم است.,2021-12-13,درحال توسعه,بررسی فنی و برنامه,کنترل کیفیت,PLM_REQUESTS
PDR-000095,C_472366,P_RARE_Product_Family_03,2022-05-06,2022-05-08,بسته,ابعاد و چیدمان بسته,2022-07-07,فنی رد,بررسی فنی و برنامه,تحقیق,PLM_REQUESTS
PDR-000096,C_479796,P_975626,2022-01-12,2022-01-12,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 205 کیلوگرم است.,2022-04-04,نمونه تأیید,نتیجه بررسی فنی و برنامه اقدام ثبت شد.,کنترل کیفیت,PLM_REQUESTS
PDR-000097,C_806376,P_RARE_Product_Family_02,2021-10-10,2021-10-11,بسته,ابعاد و چیدمان بسته,2022-01-19,فنی رد,درخواست با محدودیت فنی فعلی سازگار نبود.,برنامه,PLM_REQUESTS
PDR-000098,C_691869,P_898933,2020-10-16,2020-10-18,بهبود استحکام,افزایش استحکام برای کاهش پارگی در سرعت بالاتر درخواست شد. حجم نمونه پیشنهادی 248 کیلوگرم است.,,درحال بررسی,,کنترل کیفیت,PLM_REQUESTS
PDR-000099,C_172705,P_RARE_Product_Family_04,2020-09-01,2020-09-01,تغییر تعداد فیلامنت,تعداد فیلامنت متفاوت برای رسیدن به پوشش بهتر درخواست شد. حجم نمونه پیشنهادی 50 کیلوگرم است.,2020-10-22,فنی رد,نمونه برای آزمون مشتری آماده شد.,کنترل کیفیت,PLM_REQUESTS
PDR-000100,C_984759,P_003843,2020-06-14,2020-06-16,تغییر تعداد فیلامنت,تعداد فیلامنت متفاوت برای رسیدن به پوشش بهتر درخواست شد. حجم نمونه پیشنهادی 383 کیلوگرم است.,2020-07-16,نمونه تأیید,بررسی فنی و برنامه,برنامه,PLM_REQUESTS
