customer_id,Product_id,complaint_text,severity,created_at,complaint_status,text_resolution
CUST-006,PRD-POY-009,مشتري اعلام نموده است محدوده رنج نمره نخ زياد ميباشد و اين ميزان از 240تا 260 دنير اندازه گيري شده است,کم,2025-07-22,نیازمند بررسی,به مشتري جهت ارسال نمونه براي بررسي در مورخ 1404/05/01 اطلاع رساني شده است.ولي با چندين بار پيگيري نمونه ارسال نگرديد با توجه به بررسي مستندات همبافت مورد مغايري که حرف مشتري را تاييد کند پيدا نشد.
CUST-008,PRD-POY-001,نخ  رزرو سفت مي باشد و باز نمي شود.,کم,2025-07-23,پذیرفته‌شده,ابتدا موضوع از داخل سازمان بررسی گردید در بازدید از خط تولید تفاوت ستینگ در یک وایندر مشاهده شد و پس از پیگیری از تولید سریعا موضوع مرتفع گردید خطا در تنظیمات ماشین رخ داده بود در پیگیری های مجدد از مشتری مشکل مرتفع شده بود
CUST-008,PRD-POY-004,طبق تصاوير ارسالي محصول نهایی تک رنگ داراي رگه راه راه است.,کم,2025-08-10,ردشده,طبق بازديد واحد خدمات مشتریان در مورخه 19/05/1404 از اين شرکت مشکل از نفيس نخ نبوده و مشکل از پروسه توليد اين شرکت ميباشد اين شرکت نخ POY  را از نفیس نخ خرید کرده و سپس تکسچره و چند لا کني و چند لا تابي مي کرد  .مشاوره جهت تغییر ستينگ تولیدی به اين شرکت داده شد در اين پروسه فرآیند روغن زنی صورت می گرفت که اين پروسه روغن زني به صورت نايکنواخت بود و باعث ايجاد دو رنگي در محصول شده که در بازديد به عمل آمده از  اين شرکت فرآیند روغن زنی حذف گردید و مشکل مرتفع گردید .
CUST-020,PRD-POY-004,طبق اعلام مشتري اين نخ باهمبافت 1178210000 داراي تلرانس دنير ميباشد.,کم,2025-08-16,ردشده,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید طی بررسی به عمل آمده از نتایج کیفی نخ تلرانس نمره در محدوده مجاز قرار داشت و شکایت پذیرفته نمی باشد.
CUST-015,PRD-POY-007,طبق اعلام بازخورد مشتري نخ با همبافت 1199710000 ، نخها بسيار پرز داشته و هنگام توليد به شدت پارگي ايجاد كرده و باعث كاهش راندمان و توقفات پياپي شده است.,کم,2025-08-30,پذیرفته‌شده,با توجه به اینکه مشکل درچند بوبین مشاهده شده بود و محدود به همین مقدار بود.مقرر شد واحد توليد در زمان فیلامنت پارگی جداسازی و ثبت لیبل درجه را در زمان تولید نخ با دقت بیشتری انجام دهدو در تولیدات بعدی موضوع تکرار نگردد..
CUST-017,PRD-POY-004,نوسان شيد رنگي دارد,متوسط,2025-08-30,پذیرفته‌شده,در تاريخ04/06/08 با آقاي ایکس مذاکره گرديدو اعلام نمودند پس از بازديد از محل مشتري و تکسچره 8 دوک poy بررسي شد و هيچگونه مغايرت رنگي مشاهده نشد و به مشتري اطمينان مصرف داده شد
CUST-004,PRD-POY-003,لا کم کردن,متوسط,2025-09-09,نیازمند بررسی,"طي تماس تلفني با آقاي ایکس در تاريخ 1404/06/18 مقرر شد نمونه نخ ارسال گردد.
با بررسي هاي مجدد مشخص شد مسئله جابجايي فيلامنت و کم شدن لاي نخ بود ولي تعداد مشکل موردي بوده و قرار شد در صورت تکرار شدن اين موضوع اطلاع رساني شود. با توجه به پیگیری مجدد و عدم تکرار مشکل موضوع مرتفع گردید."
CUST-011,PRD-POY-012,نوسان در نخ به طوري كه متراژي از نخ بدون مشكل كار ميكند مجدد به حالت خام مي شود.,کم,2025-09-13,پذیرفته‌شده,در تاريخ 1404/06/23 توسط واحد خدمات مشتریان از محل مشتري بازديد به عمل آمد.در بازديد صورت گرفته نخ هاي POY با همبافت 1215810000به تعداد 16 پالت مصرف نشده مشاهده شد و تعداد 9 پالت مصرف شده بود.مشاوره ستینگ جهت تولید نخ داده شد که با شرایط حاضر هم هيچگونه مشکل در فرآيند توليد نخ وجود نداشت.نخ هاي توليدي در تعداد بالا کنترل گرديد و هيچگونه مشکل لا به لا خامي و خامي مشاهده نشد.
CUST-013,PRD-POY-003,گزارش واحد توليد شركتM درخصوص نخ ارسالي مبني بر سوختگي و گره دار بودن برخي از بوبين ها كه اين امر موجب پارگي شديد و افت راندمان گرديده است,متوسط,2025-09-15,پذیرفته‌شده,با توجه به رضايت مشتري از نخ هاي cw مقرر شد توليد هاي بعدي از وايندر هاي cw خط 2 توليد گردد.(وزن بوبین ها در محدوده 10 کیلوگرم می باشد و نخ وایند ACW در رنج 20 ک)
CUST-003,PRD-POY-008,"نخهاي ارسالي از اين همبافت مشكل فيلامنت و پارگي الياف ( پرز نخ ) داشته است و فيلامنت در بين نخها زياد بوده است به عبارتي :  ""  اين محموله نخ ها خيلي پرزدار و سيمي ( داراي نوسان ) بوده است.  "" كه اين پرز و فيلامنت ها ، باعث شده است كه راندمان مشتري كاهش يابد",متوسط,2025-09-21,پذیرفته‌شده,در بررسی صورت گرفته تعداد بالای درجات پارگی (10.8%) در زمان تولید این محصول احتمال وجود مشکلات کیفی در نخ را تایید می کند در مذاکره با مشتری مقرر شد در صورت  امکان کلیه نخ ها استفاده گردد و در صورت پارگی شدید  نخ های معیوب جداسازی و عودت داده شود که در پیگیری های بعدی اعلام شد کلیه نخ ها مصرف گردید.
CUST-015,PRD-POY-010,انتهاي بسته ها پارگي شديد داشته و باعث شده است كه راندمان مشتري به شدت كاهش يافته است.,زیاد,2025-09-23,پذیرفته‌شده,با توجه به خرابي لبه هاي دوک تعداد 80 عدد سر دوک ارسال گردید وپس از پیگیری مجدد اعلام شد مشکل مرتفع گردید
CUST-009,PRD-POY-011,بد پيچي و ريزش نخ,زیاد,2025-09-24,پذیرفته‌شده,الزام کنترل بسته در ابتداي توليد با استروبوسکوب در نيازمندي مشتري ثبت گرديد تا در توليدات بعدي از تکرار خطا جلوگيري گردد
CUST-010,PRD-POY-011,خرابي دوك,متوسط,2025-09-28,پذیرفته‌شده,با هماهنگي  30 عدد سر دوک ACW ارسال گردید  تا مشکل خرابي و شکستگي دوک ها برطرف شود.
CUST-003,PRD-POY-002,بد پيچي بر روي بعضي از دوک ها و فيلامنت پارگي و پرزدار بودن در نخ هاي مات.بنابه فرموده مشتري: به نظر ميرسد نحوه شيرينگ و بسته بندي اين نخها نيز باعث بخشي از آسيب هاي مربوطه بوده است.,متوسط,2025-10-01,پذیرفته‌شده,در بررسي هاي صورت گرفته از روي عکس ها و تماس تلفني ، مشخص گردید موضوعات موردي ميباشد و طبق بررسي واحد توليد روند توليد اين محصولات بررسي شد و مشکلي در حين توليد مشاهده نشده است.
CUST-002,PRD-POY-003,احتراما به استحضار ميرساند اشتباها نخ درجه B1  داراي شيد رنگ ميباشد.,متوسط,2025-10-04,پذیرفته‌شده,مقرر گرديد جهت مرجوع 1694.65کيلوگرم نخ ارسالي اشتباه، مرجوع شود
CUST-005,PRD-POY-003,طبق ا علام مشتري نخهاي DTY توليد شده با اين محموله داراي نوسان بسيار زياد نمره نخ بوده است. نخ DTY /300 ، بعضي از دوكها از 295 دنير تا 315 دنير متغير ميباشد.,کم,2025-10-08,پذیرفته‌شده,طي بررسي هاي صورت گرفته در نتايج آزمايشگاهي CV نمره در بازه 1.8 -2.6 ميباشد .به توليد اعلام گرديد جهت کنترل بيشتر و دقيقتر تعداد نمونه بيشتري به آزمايشگاه جهت تست نمره ارسال گردد. اين مسئله کنترل گرديده و خارج از رنج نمره مجاز نميباشد
CUST-013,PRD-POY-012,قبل از رسيدن به رزرو تمامي نخ ها پاره ميشود و موجب افت راندمان شديد ميگردد.,زیاد,2025-10-13,پذیرفته‌شده,طی بررسی به عمل آمده مشکل فقط در چند بوبین رخ داده بود و شماره پوزیشن های معیوب دریافت گردید و به سرپرست سالن تولید اعلام شد .مقرر شد واحد توليد اقدامات لازم جهت جلوگیری از تکرار مجدد شکایت را انجام دهد (کنترل با استربوسکوب و تنظیم فشار باد وایندر)
CUST-003,PRD-POY-007,خرابي دوک,زیاد,2025-10-14,پذیرفته‌شده,با توجه به حساسیت بالای مشتری الزام دوک نو نيز ثبت گرديد و لی به دلیل عدم امکان اجرای این الزام امکان تکرار شکایت وجود دارد.
CUST-009,PRD-POY-011,طبق اعلام مشتري مشكل بد پيچي و شل پيچي در نخ به شدت وجود داشته ، به اين صورت كه هنگام باز شدن نخ از روي دوك ، چند نخ به هم گير كرده و با هم توي كار مي آيد و باعث پارگي نخ مي شود,کم,2025-10-15,نیازمند بررسی,"با توجه به اينکه نخ مصرف داخل جهت فروش ارسال گرديد و در بازديد صورت گرفته پيشنهاد کسرهزينه ضايعات روگيري مطرح شد .
براي رفع اين موضوع فشار پرشر رول وايندر ها افزايش داده شد. اين موضوع البته سوي ديگري هم دارد که باز نشدن نخ ها در انتهاي بسته است. مقداري فشار را زياد کرده ايم تا ببينيم وضعيت بالانس مي شود يا خير. هم اکنون روي همه خطوط جديد تغييرات داده شده و بايد منتظر بازخور جديد باشيم. نخ هايي که در سالن هاي aty و  dty توليد مي شوند رصد مي شوند و فعلا مساله نداريم."
CUST-003,PRD-POY-007,فيلامنت پارگي و پرز بسيار زياد,متوسط,2025-10-18,نیازمند بررسی,بر اساس توافق و گفتگوي صورت گرفته مقرر شد از نمونه نخ هاي معيوب ارسال نمايد در صورت عدم ارسال شکايت خاتمه يافته تلقي ميشود. در بازديد صورت گرفته از يزد با در خواست بازديد از شرکت C از طرف ما موافقت نگرديد.
CUST-003,PRD-POY-011,طبق اعلام مشتري نخ ها دچار مشكل بوده و علاوه بر مشكل قبلي ، كه نخ در برخي نقاط پرزدار و داراي فيلامنت بوده است ، اكنون مشكل دنير نيز در وسط بسته ها مشاهده نموده است ، به اين صورت كه در وسط دوك ، نمره نخ تغيير ميبابد و نخ نازكتر ميشود.,کم,2025-11-08,پذیرفته‌شده,طي تماس تلفني مقرر شد 2 عدد از دوکهاي مشکل دار جهت بررسي ارسال گردد. با درخواست بازديد از شرکت C موافقت نگرديد به دليل اينکه مشتري اعلام کرد موضوع چندان هم حاد نيست و نياز به بازديد ندارد.
CUST-019,PRD-POY-007,فيلامنت پارگي،پرزدار بودن،پيچش نامنظم,کم,2025-11-25,پذیرفته‌شده,موارد کيفي مطرح شده برای نخ های مصرف شده گذشته: بدپيچي و فيلامنت پارگي و مشکلات پيچش ابتداي بسته در چند دوک مشاهده شد شماره وايندر و پوزيشن ها دريافت گرديد و مقرر شد در توليد آنلاين خط موارد به سرعت پيگيري و رفع گردد.در خصوص موارد کيفي خط 2 POY نيز ليبل داخل دوک ها دريافت گرديد
CUST-003,PRD-POY-011,1270110000 1263010000,زیاد,2026-02-17,پذیرفته‌شده,به دليل اينکه تعهد حمل به عهده باربری می باشد با شرکت باربری مذاکره گردید چک های تضمین مبلغ بار دریافت گردید و نیز از طریق بیمه موضوع پیگیری گردید به دلیل خارج بودن موضوع از حیطه وظایف خدمات مشتریان موضوع از طریق انبار پیگیری گردید.
CUST-001,PRD-POY-008,اختلاف تناز وزني در بار ارسالي,کم,2026-02-22,ردشده,"طي تماس تلفني با فرد مربوطه در تاريخ 1404/12/03 آترا نخ مقرر شد مجدد وزن خالص و ناخاص اندازه گيري شود در صورت مشاهده مغايرت بازديد حضوري جهت بررسي هماهنگ گردد و در صورت عدم مغايرت شکايت پذبرفته نيست و خاتمه مي يابد.
طي تماس تلفني که مجددا در تاريخ 1404/12/04 انجام شد اعلام نمودند که اختلاف وزني وجود ندارد."
CUST-008,PRD-POY-011,در تعدادي از بوبين هاي نخ دارای فیلامنت پارگی و پرز می باشد.,متوسط,2026-02-21,پذیرفته‌شده,طی بررسی به عمل آمده از تصاویر ارسالی مشتری چند دوک دارای فیلامنت پارگی بود که در مذاکره با مشتری مقرر شد در تولیدات بعدی اموضوع مرتفع گردد و سریعاموضوع به واحد تولید اعلام شد و مقرر شد در تولیدات بعدی  فیلامنت پارگی به صورت سختگیرانه ای در سالن تولید جداسازی گردد.
CUST-018,PRD-POY-007,دورنگي در نخ,زیاد,2026-05-13,ردشده,در بررسي هاي صورت گرفته در داخل سازمان (کنترل کيفيت) مغايرتي در نتايج شيد رنگ در حين توليد مشاهده نشد. در بازديداز محل مشتري که به درخواست شرکت R صورت پذيرفت، تفاوت شيد رنگ در محصول مشهود بود.در بررسي و آناليز نخ هاي موجود در محصول اختلاف در شيرينکيج نخ عامل تفاوت شيد رنگ شناسايي گرديد با توجه به اينکه فرآيند توليد تکسچرايزينگ وتابندگي توسط R انجام مي گردد.صورت جلسه اي تنظيم گرديد و موارد کارشناسي ثبت گرديد واعلام گرديد مشکل بوجود آمده مربوط به نخ نفيس نخ نمي باشد
CUST-003,PRD-POY-010,در نخ نمره 500 ، نخ با نمره خيلي پايين تر ( حدودا 250 ) مشاهده شد كه هم نخ سيمي شده است و هم پرزدار.,متوسط,2026-07-08,پذیرفته‌شده,مقرر گرديد نمونه‌هاي نخ جهت انجام بررسي‌هاي تکميلي به شرکت نفيس نخ ارسال شود. همچنين، موضوع در جلسه‌اي با حضور سرپرست واحد POY و واحد توليد مورد بررسي قرار گرفت و اقدامات اصلاحي و راهکارهاي کنترلي لازم به‌منظور پيشگيري از تکرار موارد مشابه تدوين و جهت اجرا ابلاغ گرديد
CUST-018,PRD-POY-003,مغايرت ليبل داخل دوك و روي پالت,متوسط,2026-07-12,پذیرفته‌شده,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید .در مذاکره با مشتري مشخص گرديد نخ مشکل کيفي ندارد و فقط ليبل داخل دوک اشتباه الصاق شده است جهت کنترل و جلوگيري از تکرار شکايت موضوع به واحد توليد و بسته بندي اعلام گرديد.
CUST-014,PRD-POY-008,مشتري در حال خريد نخ درجه c مي باشد ولي با اين تفاسير نخ ظاهربسيار بهم ريخته دارد. 111911100 96410000,متوسط,2026-07-23,پذیرفته‌شده,نخ درجه C می باشدو شامل خدمات پس از فروش نمی باشد و پس از روگیری نخ مشکل مرتفع می گردد.
CUST-007,PRD-POY-011,خارج شدن نخ از داخل بسته,متوسط,2026-08-06,ردشده,نخ درجات می باشد و مستندات موجود امکان تعداد بوبین خراب را تایید نمی کند.
C_172705,P_119677,مشتري اعلام نموده است ليبل داخل دوک با ليبل پالت مغايرت دارد.,کم,2021-05-07,درحال بررسی,
C_317124,P_RARE_Product_Family_03,بر اساس تصاوير ارسالي مشتري فيلامنت پارگي و پرزدار بودن در تعدادي از بوبين‌ها باعث افت راندمان شده است.,کم,2021-11-14,درحال بررسی,
C_376594,P_RARE_Product_Family_03,در همبافت 1314300035 در بخشي از نخ تعداد فيلامنت کمتر و نخ سيمي مشاهده شده است.,متوسط,2020-11-29,بسته‌شده,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید. نتایج ثبت‌شده برای همبافت 1314300035+1314300052 در محدوده الزام محصول قرار داشت و مغایرتی که ادعای مشتری را تأیید کند مشاهده نشد. با توجه به شرایط فرایند مصرف مشتری، شکایت پذیرفته نمی‌باشد؛ با این حال مشاوره تنظیمات فرایندی ارائه گردید.
C_746892,P_441295,مشتري اعلام نموده است ازدياد طول بوبين‌ها يکسان نيست و در بافت تنشن متفاوت ايجاد مي‌شود.,کم,2021-12-26,درحال بررسی,
C_746892,P_RARE_Product_Family_05,بر اساس تصاوير ارسالي مشتري لبه دوک آسيب دارد و چند بوبين در پالت سائيدگي پيدا کرده است.,کم,2021-10-24,بسته‌شده,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید. نتایج ثبت‌شده برای همبافت 1320200375 در محدوده الزام محصول قرار داشت و مغایرتی که ادعای مشتری را تأیید کند مشاهده نشد. با توجه به شرایط فرایند مصرف مشتری، شکایت پذیرفته نمی‌باشد؛ با این حال مشاوره تنظیمات فرایندی ارائه گردید.
C_593639,P_RARE_Product_Family_03,بر اساس تصاوير ارسالي مشتري نخ در قسمت تار با سرعت بالا پارگي مکرر داشته است.,متوسط,2020-08-04,بسته‌شده,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید. برای نتیجه‌گیری قطعی مقرر گردید دوک نمونه و تصاویر مربوط به همبافت 1320200392 ارسال شود. تا زمان دریافت نمونه و انجام آزمون تکمیلی، موضوع نیازمند بررسی باقی می‌ماند و تفکیک پوزیشن‌های مسئله‌دار و کنترل Tenacity.
C_117580,P_769459,طبق اعلام مشتري لبه دوک آسيب دارد و چند بوبين در پالت سائيدگي پيدا کرده است. مشتري عکس ارسال نموده است.,بحرانی,2020-08-18,درحال بررسی,
C_664019,P_505032,مشتري اعلام نموده است ازدياد طول بوبين‌ها يکسان نيست و در بافت تنشن متفاوت ايجاد مي‌شود. مشتري عکس ارسال نموده است.,متوسط,2021-02-02,بسته‌شده,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید. در بررسی مستندات تولید و کنترل کیفیت همبافت 1320200426 مشخص گردید تفاوت Draw Ratio بین پوزیشن‌ها. موضوع به سرپرست سالن FDY اعلام و مقرر شد همسان‌سازی Draw Ratio و آزمون Elongation نمونه‌های بیشتر. پس از اجرای اقدام اصلاحی، تولید بعدی پایش و نتیجه به واحد خدمات مشتریان گزارش شود.
C_853926,P_499327,بر اساس تصاوير ارسالي مشتري لبه دوک آسيب دارد و چند بوبين در پالت سائيدگي پيدا کرده است. مشتري عکس ارسال نموده است.,بحرانی,2020-08-04,بسته‌شده,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید. در بررسی مستندات تولید و کنترل کیفیت همبافت 1320200443 مشخص گردید دوک معیوب یا چیدمان نامناسب. موضوع به سرپرست سالن FDY اعلام و مقرر شد تعویض دوک و اصلاح لایی پالت. پس از اجرای اقدام اصلاحی، تولید بعدی پایش و نتیجه به واحد خدمات مشتریان گزارش شود.
C_951507,P_703625,بر اساس تصاوير ارسالي مشتري نخ در قسمت تار با سرعت بالا پارگي مکرر داشته است.,متوسط,2022-01-10,درحال بررسی,
C_683666,P_RARE_Product_Family_03,در همبافت 1320400494 بسته‌ها سختي يکنواخت ندارند و در بازشدن نخ مشکل ايجاد مي‌شود.,زیاد,2021-12-06,درحال بررسی,
C_282979,P_RARE_Product_Family_04,در همبافت 1320400511 در سطح نخ فيلامنت باز و پرز موضعي ديده مي‌شود.,زیاد,2020-11-02,بسته‌شده,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید. در بررسی مستندات تولید و کنترل کیفیت همبافت 1320400511 مشخص گردید آسیب گاید یا تماس مکانیکی نخ. موضوع به سرپرست سالن FDY اعلام و مقرر شد بازبینی گایدها و تعویض قطعات دارای پلیسه. پس از اجرای اقدام اصلاحی، تولید بعدی پایش و نتیجه به واحد خدمات مشتریان گزارش شود.
C_479796,P_278460,مشتري اعلام نموده است پس از تثبيت حرارتي عرض پارچه تغيير کرده و جمع‌شدگي بيش از انتظار است.,متوسط,2020-11-30,بسته‌شده,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید. برای نتیجه‌گیری قطعی مقرر گردید دوک نمونه و تصاویر مربوط به همبافت 1320500528+1320500545 ارسال شود. تا زمان دریافت نمونه و انجام آزمون تکمیلی، موضوع نیازمند بررسی باقی می‌ماند و بازتنظیم دمای هات‌رول و ثبت الزام شرینکیج.
C_812674,P_573948,در همبافت 1320500562 پس از تثبيت حرارتي عرض پارچه تغيير کرده و جمع‌شدگي بيش از انتظار است.,زیاد,2021-03-20,درحال بررسی,
C_342564,P_807860,بر اساس تصاوير ارسالي مشتري در سطح نخ فيلامنت باز و پرز موضعي ديده مي‌شود.,کم,2020-10-12,بسته‌شده,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید. در بررسی مستندات تولید و کنترل کیفیت همبافت 1320600579 مشخص گردید آسیب گاید یا تماس مکانیکی نخ. موضوع به سرپرست سالن FDY اعلام و مقرر شد بازبینی گایدها و تعویض قطعات دارای پلیسه. پس از اجرای اقدام اصلاحی، تولید بعدی پایش و نتیجه به واحد خدمات مشتریان گزارش شود.
C_582486,P_353119,بر اساس تصاوير ارسالي مشتري در رنگرزي يکسان اختلاف جذب رنگ بين بوبين‌ها مشاهده شده است.,متوسط,2020-04-11,بسته‌شده,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید. در بررسی مستندات تولید و کنترل کیفیت همبافت 1320600596 مشخص گردید اختلاف ساختار یا شرینکیج. موضوع به سرپرست سالن FDY اعلام و مقرر شد آزمون شید و شرینکیج روی نمونه شاهد. پس از اجرای اقدام اصلاحی، تولید بعدی پایش و نتیجه به واحد خدمات مشتریان گزارش شود.
