Interaction_ID,Record_Version,Customer_ID,Product_ID,Event_Time,Available_At,Updated_At,Interaction_Type,Summary_Text,Next_Action,Record_Status,Source_System,Sales_Rep_ID
INT-0000034,1,C_015579,P_RARE_Product_Family_03,2020-08-20,2020-08-21,2020-08-21,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0056.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-001
INT-0000035,1,C_015579,,2020-07-20,2020-07-20,2020-07-20,نمونه محصول,مشخصات نمونه و شرایط آزمون با مشتری هماهنگ شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0060.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-001
INT-0000036,1,C_015579,,2020-09-02,2020-09-04,2020-09-04,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: مهم؛ کد پیگیری 0062.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-001
INT-0000037,1,C_015579,P_RARE_Product_Family_03,2020-08-02,2020-08-03,2020-08-03,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0065.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-001
INT-0000038,1,C_015746,P_230552,2021-02-22,2021-02-23,2021-02-23,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0061.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-004
INT-0000039,1,C_015746,P_230552,2021-03-24,2021-03-24,2021-03-24,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: جلسه قیمت؛ فوریت: مهم؛ کد پیگیری 0063.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-004
INT-0000040,1,C_015746,P_230552,2021-05-17,2021-05-18,2021-05-18,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0066.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-004
INT-0000040,2,C_015746,P_230552,2021-05-17,2021-05-18,2021-05-24,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0066. اطلاعات تکمیلی ثبت شد.,پیگیری تلفنی,اصلاح,CRM_ACTIVITIES,REP-004
INT-0000041,1,C_015746,,2022-06-09,2022-06-11,2022-06-11,خدمات فنی,کارشناس فنی راهنمایی اولیه برای مصرف محصول ارائه کرد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0070.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-004
INT-0000042,1,C_015746,P_230552,2021-05-02,2021-05-04,2021-05-04,خدمات فنی,کارشناس فنی راهنمایی اولیه برای مصرف محصول ارائه کرد. اقدام بعدی: بدون اقدام؛ فوریت: مهم؛ کد پیگیری 0072.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-004
INT-0000043,1,C_015746,P_230552,2022-06-29,2022-06-29,2022-06-29,وصول مطالبات,مشتری برنامه تسویه مرحله,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-004
INT-0000044,1,C_016617,P_645213,2020-06-17,2020-06-19,2020-06-19,خدمات فنی,کارشناس فنی راهنمایی اولیه برای مصرف محصول ارائه کرد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0070.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000045,1,C_016617,P_565736,2022-06-04,2022-06-04,2022-06-04,خدمات فنی,کارشناس فنی راهنمایی اولیه برای مصرف محصول ارائه کرد. اقدام بعدی: بدون اقدام؛ فوریت: مهم؛ کد پیگیری 0072.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000046,1,C_016617,P_353119,2022-05-17,2022-05-17,2022-05-17,وصول مطالبات,مشتری برنامه تسویه مرحله,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000047,1,C_016617,P_353119,2022-06-24,2022-06-25,2022-06-25,نمونه محصول,مشخصات نمونه و شرایط آزمون با مشتری هماهنگ شد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0077.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000048,1,C_016617,P_128221,2022-06-29,2022-06-29,2022-06-29,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0080.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000049,1,C_018229,P_878638,2020-01-13,2020-01-14,2020-01-14,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: بدون اقدام؛ فوریت: فوری؛ کد پیگیری 0076.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-004
INT-0000050,1,C_018229,,2020-11-11,2020-11-13,2020-11-13,خدمات فنی,کارشناس فنی راهنمایی اولیه برای مصرف محصول ارائه کرد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0079.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-004
INT-0000051,1,C_018229,P_514917,2020-11-15,2020-11-16,2020-11-16,خدمات فنی,نیاز به بازدید فنی و تنظیم پارامترهای مصرف مطرح شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0081.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-004
INT-0000052,1,C_018229,P_715924,2020-10-29,2020-10-30,2020-10-30,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0084.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-004
INT-0000053,1,C_018229,,2020-11-02,2020-11-02,2020-11-02,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0086.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-004
INT-0000054,1,C_018593,,2020-06-08,2020-06-09,2020-06-09,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0083.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-006
INT-0000055,1,C_018593,,2020-05-08,2020-05-08,2020-05-08,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0085.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-006
INT-0000056,1,C_018593,P_RARE_Product_Family_02,2020-06-09,2020-06-09,2020-06-09,نمونه محصول,مشخصات نمونه و شرایط آزمون با مشتری هماهنگ شد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0088.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-006
INT-0000057,1,C_018593,P_RARE_Product_Family_02,2020-05-09,2020-05-11,2020-05-11,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: جلسه قیمت؛ فوریت: مهم؛ کد پیگیری 0090. اطلاعات تکمیلی در نسخه دوم ثبت شد.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-006
INT-0000058,1,C_018593,P_RARE_Product_Family_02,2020-05-29,2020-05-30,2020-05-30,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0092.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-006
INT-0000059,1,C_021668,P_RARE_Product_Family_03,2020-09-15,2020-09-15,2020-09-15,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: جلسه قیمت؛ فوریت: مهم؛ کد پیگیری 0090.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000060,1,C_021668,,2020-10-09,2020-10-09,2020-10-09,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0091.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000061,1,C_021668,P_RARE_Product_Family_03,2020-08-26,2020-08-27,2020-08-27,نمونه محصول,مشخصات نمونه و شرایط آزمون با مشتری هماهنگ شد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0093.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000062,1,C_021668,P_RARE_Product_Family_05,2020-09-26,2020-09-28,2020-09-28,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0095.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000063,1,C_021668,P_RARE_Product_Family_03,2020-08-13,2020-08-13,2020-08-13,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: ارسال نمونه؛ فوریت: مهم؛ کد پیگیری 0097.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000064,1,C_021985,P_947367,2022-01-16,2022-01-17,2022-01-17,خدمات فنی,نیاز به بازدید فنی و تنظیم پارامترهای مصرف مطرح شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: مهم؛ کد پیگیری 0094.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000065,1,C_021985,,2021-08-25,2021-08-27,2021-08-27,برنامه خرید,مشتری برنامه تقریبی خرید دوره بعد را اعلام کرد. اقدام بعدی: بدون اقدام؛ فوریت: فوری؛ کد پیگیری 0096.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000066,1,C_021985,,2021-03-22,2021-03-22,2021-03-22,خدمات فنی,کارشناس فنی راهنمایی اولیه برای مصرف محصول ارائه کرد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0098.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000067,1,C_021985,P_258227,2021-04-22,2021-04-23,2021-04-23,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0100.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000068,1,C_021985,P_947367,2021-06-09,2021-06-10,2021-06-10,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بازدید فنی؛ فوریت: فوری؛ کد پیگیری 0103.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000069,1,C_021985,P_258227,2021-05-29,2021-05-31,2021-05-31,پیگیری سفارش,زمان,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000070,1,C_022240,P_RARE_Product_Family_05,2021-05-22,2021-05-23,2021-05-23,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0100.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-007
INT-0000071,1,C_022240,P_427325,2021-07-21,2021-07-21,2021-07-21,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بازدید فنی؛ فوریت: فوری؛ کد پیگیری 0103.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-007
INT-0000072,1,C_022240,,2021-04-02,2021-04-04,2021-04-04,پیگیری سفارش,زمان,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-007
INT-0000073,1,C_022240,,2021-04-13,2021-04-14,2021-04-14,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0108.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-007
INT-0000074,1,C_022240,P_046254,2021-07-19,2021-07-21,2021-07-21,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: بازدید فنی؛ فوریت: مهم؛ کد پیگیری 0110.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-007
INT-0000075,1,C_022240,,2021-01-27,2021-01-28,2021-01-28,وصول مطالبات,مشتری برنامه تسویه مرحله,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-007
INT-0000076,1,C_022240,P_046254,2020-12-06,2020-12-06,2020-12-06,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0114.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-007
INT-0000076,2,C_022240,P_046254,2020-12-06,2020-12-06,2020-12-11,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0114. اطلاعات تکمیلی ثبت شد.,ارسال نمونه,اصلاح,CRM_ACTIVITIES,REP-007
INT-0000077,1,C_022240,P_817472,2020-10-13,2020-10-15,2020-10-15,پیگیری سفارش,زمان,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-007
INT-0000078,1,C_022240,,2021-04-08,2021-04-10,2021-04-10,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0119.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-007
INT-0000079,1,C_022746,P_RARE_Product_Family_04,2021-11-20,2021-11-21,2021-11-21,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: فوری؛ کد پیگیری 0111.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000080,1,C_022746,P_851763,2021-10-22,2021-10-24,2021-10-24,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: جلسه قیمت؛ فوریت: مهم؛ کد پیگیری 0113.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000080,2,C_022746,P_851763,2021-10-22,2021-10-24,2021-11-01,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: جلسه قیمت؛ فوریت: مهم؛ کد پیگیری 0113. اطلاعات تکمیلی ثبت شد.,جلسه قیمت,اصلاح,CRM_ACTIVITIES,REP-005
INT-0000081,1,C_022746,,2021-11-22,2021-11-22,2021-11-22,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0115.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000082,1,C_022746,P_275141,2021-11-04,2021-11-04,2021-11-04,کیفیت محصول,مشتری درباره یکنواختی محصول سؤال داشت و نمونه برای بررسی ثبت شد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0118.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000083,1,C_022746,P_275141,2021-09-21,2021-09-22,2021-09-22,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: فوری؛ کد پیگیری 0123.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-005
INT-0000084,1,C_023073,,2020-09-16,2020-09-17,2020-09-17,پیگیری سفارش,زمان,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-006
INT-0000085,1,C_023073,P_068101,2020-08-03,2020-08-05,2020-08-05,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0119.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-006
INT-0000086,1,C_023073,P_514917,2021-12-14,2021-12-16,2021-12-16,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0125.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-006
INT-0000087,1,C_023073,P_427361,2021-07-11,2021-07-11,2021-07-11,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0127.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-006
